Date,Adj Close,Close,High,Low,Open,Volume
23/05/2023,574.3,590.1500244,594.5,580.9000244,581,2726826
24/05/2023,577.9483032,593.9000244,604.2000122,592.0499878,594.1500244,2488874
25/05/2023,587.3878174,603.5999756,615.5,601,607,5187933
26/05/2023,588.0690308,604.2999878,610.2000122,603.0999756,608.5999756,1195590
29/05/2023,588.94,605.2000122,610.0999756,603.2999878,610,1131333
30/05/2023,584.760376,600.9000244,606.4500122,599.5,605.5,720683
31/05/2023,579.16,595.1500244,599.4500122,593,599.4500122,720695
01/06/2023,581.1110229,597.1500244,600.5,593.9500122,595,694568
02/06/2023,580.82,596.8499756,601.4000244,596.0999756,599.0999756,507824
05/06/2023,580.5757446,596.5999756,602,595.9500122,598.5,641136
06/06/2023,581.6948853,597.75,599.75,596,598.0499878,480880
07/06/2023,585.2,601.3499756,605,597.5,599,809884
08/06/2023,587.1931763,603.4000244,610.4000244,602.2999878,602.3499756,1424334
09/06/2023,585.7821655,601.9500122,607,600.3499756,605,660925
12/06/2023,581.01,597.0499878,601.5,595.0499878,598.7999878,803879
13/06/2023,582.8140259,598.9000244,600.75,597.7000122,597.7000122,400863
14/06/2023,579.9918823,596,601.9000244,595.25,599.9000244,644399
15/06/2023,580.3811646,596.4000244,604.9500122,595.0499878,596,847451
16/06/2023,588.2149658,604.4500122,606.7000122,596.4000244,596.4000244,1405526
19/06/2023,601.69,618.2999878,620.9500122,603.5499878,605,2500627
20/06/2023,613.4193115,630.3499756,632.5,619.0499878,620,3041047
21/06/2023,618.9661865,636.0499878,639.75,633.0499878,636.5999756,1580109
22/06/2023,624.5131226,641.75,654,636.6500244,637.9000244,3120722
23/06/2023,608.16,624.9500122,646.9000244,622.75,643,1538801
26/06/2023,599.36,615.9000244,625.7999878,613.7000122,624.9500122,946727
27/06/2023,600.2332153,616.7999878,620.5,611.75,616.2999878,975533
28/06/2023,603.34729,620,622.75,615,618,1156188
30/06/2023,615.2682495,632.25,633.5,620.2000122,622.0999756,1371193
03/07/2023,612.1542358,629.0499878,637.8499756,628,635,888170
04/07/2023,609.09,625.9000244,632.75,624.2999878,630.75,625593
05/07/2023,609.9159546,626.75,629.5,625,626,569014
06/07/2023,611.0350952,627.9000244,631.3499756,624,625.0999756,624168
